"市町村","タイトル","所在地","緯度","経度","写真1","写真2","写真3","写真4","写真5","写真6","写真7","写真8","写真9","写真10","連絡先","分類","災害種別","備考"
"","ケアハウス健祥会アムス","日開野町字宗人屋敷71-4","33.997623","134.578394","","","","","","","","","","","0885-33-3117","指定避難所（法定外）,福祉避難所（法定外）","","福祉避難所としてのみ開設"
"","正梶集会所","宍喰浦字正梶188","33.558919287628","134.307664350587","","","","","","","","","","","","指定避難所（法定外）","",""
"","那佐集会所","宍喰浦字那佐２４０","33.582308426169","134.323577554318","","","","","","","","","","","","指定避難所（法定外）","",""
"","竹ヶ島改善センター","宍喰浦字竹ヶ島１２","33.5449845176755","134.318641495465","","","","","","","","","","","","指定避難所（法定外）","",""
"","船津公民館","船津字船津５５","33.5756540114662","134.223896849919","","","","","","","","","","","","指定避難所（法定外）","",""
"","小谷西集会所","小谷字小野３９－１","33.579418","134.242726","","","","","","","","","","","","指定避難所（法定外）","",""
"","塩深集会所","塩深字長通５","33.5685633831213","134.251597637629","","","","","","","","","","","","指定避難所（法定外）","",""
"","小谷集会所","小谷字落合１０６－１","33.5871270952839","134.267385846762","","","","","","","","","","","","指定避難所（法定外）","",""
"","角坂集会所","角坂字天神後３３－１","33.5734666944388","134.26147018482","","","","","","","","","","","","指定避難所（法定外）","",""
"","広岡集会所","芥附字広岡５８","33.574846131077","134.269201063555","","","","","","","","","","","","指定避難所（法定外）","",""
"","海南文化村","四方原字杉谷73","33.6136718218376","134.357585285799","","","","","","","","","","","","指定避難所（法定外）","",""
"","建島会館","中田町字狭間6-ｌ","34.017122","134.57222","","","","","","","","","","","","指定避難所（法定外）","",""
"","介護老人保健施設 明和苑","和田島町字浜塚108-3","33.992962","134.635507","","","","","","","","","","","0885-37-3777","指定避難所（法定外）,福祉避難所（法定外）","","福祉避難所としてのみ開設"
"","坂野小学校","坂野町字根上り6-1","33.981891","134.633138","","","","","","","","","","","0885-37-1512","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","宍喰小学校","久保字松本88","33.567218","134.301742","","","","","","","","","","","","指定避難所（法定外）","",""
"","宍喰中学校　３階以上","久保字北田5","33.5718977465228","134.298046063569","","","","","","","","","","","","指定避難所（法定外）","",""
"","宍喰町民センター　３階","宍喰浦字宍喰362","33.5659471827634","134.302586045044","","","","","","","","","","","","指定避難所（法定外）","",""
"","海部文化センター","高園字松木谷５４－２","33.5962818572368","134.347442300324","","","","","","","","","","","","指定避難所（法定外）","",""
"","海部小学校2階以上","奥浦字堤ノ外44","33.593861","134.356763","","","","","","","","","","","","指定避難所（法定外）","",""
"","海陽町役場　海部庁舎（海部公民館2階以上）","奥浦字新町44","33.596096332663","134.35297925006","","","","","","","","","","","","指定避難所（法定外）","",""
"","野江老人憩いの家","野江字小路７５－１","33.600962663861","134.332008978927","","","","","","","","","","","","指定避難所（法定外）","",""
"","鞆浦福祉会館","鞆浦字仲町1-2","33.5916133007717","134.360378902863","","","","","","","","","","","","指定避難所（法定外）","",""
"","大内生活改善センター","相川字上大内31","33.655193","134.249594","","","","","","","","","","","","指定避難所（法定外）","",""
"","相川健康管理センター","相川字室津12","33.6485948191847","134.292601300322","","","","","","","","","","","","指定避難所（法定外）","",""
"","平井集落センター","平井字寒ヶ瀬140-2","33.6861834117901","134.254900053526","","","","","","","","","","","","指定避難所（法定外）","",""
"","海部高等学校","大里字古畑58-2","33.6076792874812","134.357267621761","","","","","","","","","","","","指定避難所（法定外）","",""
"","海陽中学校","大里字松原34-83","33.6065125475689","134.363925488176","","","","","","","","","","","","指定避難所（法定外）","",""
"","海南小学校","四方原字旭町50","33.6067741110822","134.35441125008","","","","","","","","","","","","指定避難所（法定外）","",""
"","海陽町役場  海南庁舎","大里字上中須128","33.60203","134.351972","","","","","","","","","","","","指定避難所（法定外）","",""
"","旧川上小学校","神野字高尾５４","33.6619160128996","134.310376250047","","","","","","","","","","","","指定避難所（法定外）","",""
"","野江町民体育館","野江字西ノ内19-1","33.6031749286609","134.33017043789","","","","","","","","","","","","指定避難所（法定外）","",""
"","浅川小学校","浅川字カミノ41-3","33.6255245154631","134.359989217017","","","","","","","","","","","","指定避難所（法定外）","",""
"","北小松島公民館","中田町字脇谷41","34.016891","134.5869","","","","","","","","","","","0885-32-2700","指定避難所（法指定）","",""
"","松茂町北部学習センター","松茂町中喜来字中須69-3","34.1432","134.573718","","","","","","","","","","","088-699-8713","指定避難所（法指定）","",""
"","(有)プレタ グループホームファミリーヒルズ","新居見町字東山下102-4","33.995554","134.572888","","","","","","","","","","","0885-32-6517","指定避難所（法定外）,福祉避難所（法定外）","","福祉避難所としてのみ開設"
"","特別養護老人ホーム 千歳苑","小松島町字元根井54-1","34.015259","134.59117","","","","","","","","","","","0885-33-2040","指定避難所（法定外）,福祉避難所（法定外）","","福祉避難所としてのみ開設"
"","特別養護老人ホーム 恵光苑","坂野町字樫のべ32-1","33.969537","134.62551","","","","","","","","","","","0885-37-3000","指定避難所（法定外）,福祉避難所（法定外）","","福祉避難所としてのみ開設"
"","喜楽苑","勝浦町大字棚野字竹国13-1","33.93266","134.504834","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）,福祉避難所（法指定）","地震",""
"","和田島保育所","和田島町字明神北131-2","33.997396","134.640863","","","","","","","","","","","0885-37-2044","指定避難所（法指定）","",""
"","和田島公民館","和田島町字明神北129","33.99768","134.640326","","","","","","","","","","","0885-32-2700","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,内水氾濫",""
"","東とくしま農業協同組合坂野支所","坂野町字種井19-1","33.981616","134.630432","","","","","","","","","","","0885-37-1501","指定避難所（法定外）","",""
"","泰地総合センター","中郷町字桜馬場103-1","34.013112","134.57384","","","","","","","","","","","0885-32-2122","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","目佐厚生福祉解放センター","坂野町字目佐101","33.967161","134.633853","","","","","","","","","","","0885-32-2122","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","櫛渕公民館","櫛渕町字北佃41","33.953093","134.583281","","","","","","","","","","","0885-32-2700","指定避難所（法指定）","",""
"","櫛渕教育集会所","櫛渕町字関免5-5","33.954739","134.585266","","","","","","","","","","","","指定避難所（法指定）","",""
"","櫛渕地区コミュニティ集会所","櫛渕町字萱原92-1","33.947864","134.572135","","","","","","","","","","","","指定避難所（法指定）","",""
"","立江公民館","立江町字清水184-1","33.966964","134.60399","","","","","","","","","","","0885-32-2700","指定避難所（法指定）","",""
"","小松島市立武道館","立江町字赤石74-2","33.978972","134.606273","","","","","","","","","","","0885-38-1788","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,内水氾濫",""
"","ふれあいセンター立江","立江町字黒岩78-1","33.975672","134.605104","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等",""
"","木屋平中学校体育館","美馬市木屋平川井","33.9348773144466","134.211897253976","","","","","","","","","","","0883-68-2111","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,地震",""
"","新居見老人いこいの家","新居見町字山路33","33.995308","134.564358","","","","","","","","","","","","指定避難所（法指定）","",""
"","板野高校体育館","板野町川端字関ノ本47","34.1409424427376","134.470169526658","","","","","","","","","","","088-672-1101","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫","洪水について、吉野川洪水氾濫時は除く。"
"","板野町町民ふれあいプラザ","板野町那東字大道下10","34.136679","134.439576","","","","","","","","","","","088-672-0136","指定緊急避難場所（法指定）,指定避難所（法指定）,福祉避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫","洪水について、吉野川洪水氾濫時は除く。"
